id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1098;2515;119.34;0.0;0.0;0.0;0.0;0.0;2020;False
1099;39386;1868.87;1039.24;1039.24;0.56;1.0;0.56;2020;False
1100;4230;200.71;0.0;0.0;0.0;0.0;0.0;2020;False
1101;4700;223.02;0.0;0.0;0.0;0.0;0.0;2020;False
1102;4040;191.7;200.0;0.0;1.04;0.0;0.0;2020;False
1103;21146;1003.38;0.0;0.0;0.0;0.0;0.0;2020;False
1104;4230;200.71;0.0;0.0;0.0;0.0;0.0;2020;False
1105;23187;1100.22;879.12;879.12;0.8;1.0;0.8;2020;False
1106;6554;310.99;0.0;0.0;0.0;0.0;0.0;2020;False
1107;8089;383.82;318.7;318.7;0.83;1.0;0.83;2020;False
1108;95534;4533.09;6331.7;5774.51;1.4;0.91;1.27;2020;False
1109;2107;99.98;0.0;0.0;0.0;0.0;0.0;2020;False
